Country,Continent
Country 1,Africa
Country 10,South America
Country 11,South America
Country 12,Africa
Country 13,Asia
Country 14,Africa
Country 15,Africa
Country 16,North America
Country 17,North America
Country 18,North America
Country 19,Asia
Country 2,South America
Country 20,Africa
Country 22,Africa
Country 23,Africa
Country 24,South America
Country 25,North America
Country 26,Africa
Country 27,Africa
Country 28,North America
Country 3,South America
Country 30,Africa
Country 31,Africa
Country 32,Africa
Country 33,North America
Country 34,Africa
Country 35,South America
Country 36,North America
Country 37,Asia
Country 38,North America
Country 39,Africa
Country 4,Africa
Country 40,Asia
Country 41,Africa
Country 42,North America
Country 44,North America
Country 45,Africa
Country 46,North America
Country 47,Africa
Country 48,Asia
Country 49,Asia
Country 5,South America
Country 50,Africa
Country 51,North America
Country 52,Africa
Country 53,South America
Country 54,Asia
Country 55,Asia
Country 6,Asia
Country 7,Africa
Country 8,Africa
Country 9,Oceania
