Country,Coffee type,Total_domestic_consumption,Year,Consumption,Continent
Country 1,Robusta/Arabica,46500000,1990,1344000.0,Africa
Country 1,Robusta/Arabica,46500000,1991,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,1992,2352000.0,Africa
Country 1,Robusta/Arabica,46500000,1993,1344000.0,Africa
Country 1,Robusta/Arabica,46500000,1994,1680000.0,Africa
Country 1,Robusta/Arabica,46500000,1995,672000.0,Africa
Country 1,Robusta/Arabica,46500000,1996,1344000.0,Africa
Country 1,Robusta/Arabica,46500000,1997,2688000.0,Africa
Country 1,Robusta/Arabica,46500000,1998,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,1999,1344000.0,Africa
Country 1,Robusta/Arabica,46500000,2000,1344000.0,Africa
Country 1,Robusta/Arabica,46500000,2001,1344000.0,Africa
Country 1,Robusta/Arabica,46500000,2002,1344000.0,Africa
Country 1,Robusta/Arabica,46500000,2003,1008000.0,Africa
Country 1,Robusta/Arabica,46500000,2004,1008000.0,Africa
Country 1,Robusta/Arabica,46500000,2005,1008000.0,Africa
Country 1,Robusta/Arabica,46500000,2006,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2007,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2008,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2009,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2010,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2011,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2012,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2013,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2014,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2015,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2016,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2017,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2018,2016000.0,Africa
Country 1,Robusta/Arabica,46500000,2019,2016000.0,Africa
Country 10,Arabica,35100000,1990,1008000.0,South America
Country 10,Arabica,35100000,1991,1008000.0,South America
Country 10,Arabica,35100000,1992,1008000.0,South America
Country 10,Arabica,35100000,1993,1344000.0,South America
Country 10,Arabica,35100000,1994,1344000.0,South America
Country 10,Arabica,35100000,1995,1344000.0,South America
Country 10,Arabica,35100000,1996,1344000.0,South America
Country 10,Arabica,35100000,1997,1344000.0,South America
Country 10,Arabica,35100000,1998,1344000.0,South America
Country 10,Arabica,35100000,1999,1344000.0,South America
Country 10,Arabica,35100000,2000,1344000.0,South America
Country 10,Arabica,35100000,2001,1344000.0,South America
Country 10,Arabica,35100000,2002,1344000.0,South America
Country 10,Arabica,35100000,2003,1344000.0,South America
Country 10,Arabica,35100000,2004,1344000.0,South America
Country 10,Arabica,35100000,2005,1344000.0,South America
Country 10,Arabica,35100000,2006,1344000.0,South America
Country 10,Arabica,35100000,2007,1344000.0,South America
Country 10,Arabica,35100000,2008,1344000.0,South America
Country 10,Arabica,35100000,2009,1344000.0,South America
Country 10,Arabica,35100000,2010,1344000.0,South America
Country 10,Arabica,35100000,2011,1344000.0,South America
Country 10,Arabica,35100000,2012,1344000.0,South America
Country 10,Arabica,35100000,2013,1344000.0,South America
Country 10,Arabica,35100000,2014,1344000.0,South America
Country 10,Arabica,35100000,2015,1344000.0,South America
Country 10,Arabica,35100000,2016,1344000.0,South America
Country 10,Arabica,35100000,2017,1344000.0,South America
Country 10,Arabica,35100000,2018,1344000.0,South America
Country 10,Arabica,35100000,2019,1344000.0,South America
Country 11,Arabica,402000000,1990,12768000.0,South America
Country 11,Arabica,402000000,1991,12768000.0,South America
Country 11,Arabica,402000000,1992,13440000.0,South America
Country 11,Arabica,402000000,1993,13440000.0,South America
Country 11,Arabica,402000000,1994,13440000.0,South America
Country 11,Arabica,402000000,1995,13440000.0,South America
Country 11,Arabica,402000000,1996,13440000.0,South America
Country 11,Arabica,402000000,1997,13440000.0,South America
Country 11,Arabica,402000000,1998,13440000.0,South America
Country 11,Arabica,402000000,1999,13440000.0,South America
Country 11,Arabica,402000000,2000,13440000.0,South America
Country 11,Arabica,402000000,2001,13440000.0,South America
Country 11,Arabica,402000000,2002,14784000.0,South America
Country 11,Arabica,402000000,2003,14784000.0,South America
Country 11,Arabica,402000000,2004,14784000.0,South America
Country 11,Arabica,402000000,2005,14784000.0,South America
Country 11,Arabica,402000000,2006,14784000.0,South America
Country 11,Arabica,402000000,2007,14784000.0,South America
Country 11,Arabica,402000000,2008,16800000.0,South America
Country 11,Arabica,402000000,2009,16800000.0,South America
Country 11,Arabica,402000000,2010,16800000.0,South America
Country 11,Arabica,402000000,2011,16800000.0,South America
Country 11,Arabica,402000000,2012,16800000.0,South America
Country 11,Arabica,402000000,2013,16800000.0,South America
Country 11,Arabica,402000000,2014,16800000.0,South America
Country 11,Arabica,402000000,2015,16800000.0,South America
Country 11,Arabica,402000000,2016,16800000.0,South America
Country 11,Arabica,402000000,2017,16800000.0,South America
Country 11,Arabica,402000000,2018,16800000.0,South America
Country 11,Arabica,402000000,2019,16800000.0,South America
Country 12,Arabica,2139960,1990,67200.0,Africa
Country 12,Arabica,2139960,1991,67200.0,Africa
Country 12,Arabica,2139960,1992,67200.0,Africa
Country 12,Arabica,2139960,1993,67200.0,Africa
Country 12,Arabica,2139960,1994,67200.0,Africa
Country 12,Arabica,2139960,1995,67200.0,Africa
Country 12,Arabica,2139960,1996,67200.0,Africa
Country 12,Arabica,2139960,1997,201600.0,Africa
Country 12,Arabica,2139960,1998,201600.0,Africa
Country 12,Arabica,2139960,1999,134400.0,Africa
Country 12,Arabica,2139960,2000,134400.0,Africa
Country 12,Arabica,2139960,2001,134400.0,Africa
Country 12,Arabica,2139960,2002,22377.6,Africa
Country 12,Arabica,2139960,2003,22377.6,Africa
Country 12,Arabica,2139960,2004,67200.0,Africa
Country 12,Arabica,2139960,2005,67200.0,Africa
Country 12,Arabica,2139960,2006,67200.0,Africa
Country 12,Arabica,2139960,2007,67200.0,Africa
Country 12,Arabica,2139960,2008,67200.0,Africa
Country 12,Arabica,2139960,2009,67200.0,Africa
Country 12,Arabica,2139960,2010,67200.0,Africa
Country 12,Arabica,2139960,2011,67200.0,Africa
Country 12,Arabica,2139960,2012,67200.0,Africa
Country 12,Arabica,2139960,2013,67200.0,Africa
Country 12,Arabica,2139960,2014,67200.0,Africa
Country 12,Arabica,2139960,2015,67200.0,Africa
Country 12,Arabica,2139960,2016,67200.0,Africa
Country 12,Arabica,2139960,2017,67200.0,Africa
Country 12,Arabica,2139960,2018,67200.0,Africa
Country 12,Arabica,2139960,2019,67200.0,Africa
Country 13,Arabica,294000,2010,32928.0,Asia
Country 13,Arabica,294000,2011,32928.0,Asia
Country 13,Arabica,294000,2012,32928.0,Asia
Country 13,Arabica,294000,2013,32928.0,Asia
Country 13,Arabica,294000,2014,32928.0,Asia
Country 13,Arabica,294000,2015,32928.0,Asia
Country 13,Arabica,294000,2016,32928.0,Asia
Country 13,Arabica,294000,2017,32928.0,Asia
Country 13,Arabica,294000,2018,32928.0,Asia
Country 13,Arabica,294000,2019,32928.0,Asia
Country 14,Arabica,8595960,1990,537600.0,Africa
Country 14,Arabica,8595960,1991,537600.0,Africa
Country 14,Arabica,8595960,1992,537600.0,Africa
Country 14,Arabica,8595960,1993,559977.6,Africa
Country 14,Arabica,8595960,1994,559977.6,Africa
Country 14,Arabica,8595960,1995,443520.0,Africa
Country 14,Arabica,8595960,1996,268800.0,Africa
Country 14,Arabica,8595960,1997,268800.0,Africa
Country 14,Arabica,8595960,1998,268800.0,Africa
Country 14,Arabica,8595960,1999,268800.0,Africa
Country 14,Arabica,8595960,2000,268800.0,Africa
Country 14,Arabica,8595960,2001,268800.0,Africa
Country 14,Arabica,8595960,2002,268800.0,Africa
Country 14,Arabica,8595960,2003,268800.0,Africa
Country 14,Arabica,8595960,2004,268800.0,Africa
Country 14,Arabica,8595960,2005,268800.0,Africa
Country 14,Arabica,8595960,2006,268800.0,Africa
Country 14,Arabica,8595960,2007,268800.0,Africa
Country 14,Arabica,8595960,2008,268800.0,Africa
Country 14,Arabica,8595960,2009,268800.0,Africa
Country 14,Arabica,8595960,2010,268800.0,Africa
Country 14,Arabica,8595960,2011,268800.0,Africa
Country 14,Arabica,8595960,2012,268800.0,Africa
Country 14,Arabica,8595960,2013,268800.0,Africa
Country 14,Arabica,8595960,2014,268800.0,Africa
Country 14,Arabica,8595960,2015,268800.0,Africa
Country 14,Arabica,8595960,2016,268800.0,Africa
Country 14,Arabica,8595960,2017,268800.0,Africa
Country 14,Arabica,8595960,2018,268800.0,Africa
Country 14,Arabica,8595960,2019,268800.0,Africa
Country 15,Robusta,5360040,1990,201600.0,Africa
Country 15,Robusta,5360040,1991,179222.4,Africa
Country 15,Robusta,5360040,1992,179222.4,Africa
Country 15,Robusta,5360040,1993,201600.0,Africa
Country 15,Robusta,5360040,1994,201600.0,Africa
Country 15,Robusta,5360040,1995,201600.0,Africa
Country 15,Robusta,5360040,1996,201600.0,Africa
Country 15,Robusta,5360040,1997,201600.0,Africa
Country 15,Robusta,5360040,1998,201600.0,Africa
Country 15,Robusta,5360040,1999,201600.0,Africa
Country 15,Robusta,5360040,2000,201600.0,Africa
Country 15,Robusta,5360040,2001,201600.0,Africa
Country 15,Robusta,5360040,2002,201600.0,Africa
Country 15,Robusta,5360040,2003,201600.0,Africa
Country 15,Robusta,5360040,2004,201600.0,Africa
Country 15,Robusta,5360040,2005,201600.0,Africa
Country 15,Robusta,5360040,2006,201600.0,Africa
Country 15,Robusta,5360040,2007,201600.0,Africa
Country 15,Robusta,5360040,2008,201600.0,Africa
Country 15,Robusta,5360040,2009,201600.0,Africa
Country 15,Robusta,5360040,2010,201600.0,Africa
Country 15,Robusta,5360040,2011,201600.0,Africa
Country 15,Robusta,5360040,2012,201600.0,Africa
Country 15,Robusta,5360040,2013,201600.0,Africa
Country 15,Robusta,5360040,2014,201600.0,Africa
Country 15,Robusta,5360040,2015,201600.0,Africa
Country 15,Robusta,5360040,2016,201600.0,Africa
Country 15,Robusta,5360040,2017,201600.0,Africa
Country 15,Robusta,5360040,2018,201600.0,Africa
Country 15,Robusta,5360040,2019,201600.0,Africa
Country 16,Arabica,384006000,1990,14313600.0,North America
Country 16,Arabica,384006000,1991,14313600.0,North America
Country 16,Arabica,384006000,1992,13104000.0,North America
Country 16,Arabica,384006000,1993,13043520.0,North America
Country 16,Arabica,384006000,1994,13036800.0,North America
Country 16,Arabica,384006000,1995,13036800.0,North America
Country 16,Arabica,384006000,1996,12700800.0,North America
Country 16,Arabica,384006000,1997,13104000.0,North America
Country 16,Arabica,384006000,1998,13440000.0,North America
Country 16,Arabica,384006000,1999,13440000.0,North America
Country 16,Arabica,384006000,2000,14313600.0,North America
Country 16,Arabica,384006000,2001,14784000.0,North America
Country 16,Arabica,384006000,2002,15052800.0,North America
Country 16,Arabica,384006000,2003,15052800.0,North America
Country 16,Arabica,384006000,2004,15052800.0,North America
Country 16,Arabica,384006000,2005,15052800.0,North America
Country 16,Arabica,384006000,2006,15052800.0,North America
Country 16,Arabica,384006000,2007,15052800.0,North America
Country 16,Arabica,384006000,2008,14784000.0,North America
Country 16,Arabica,384006000,2009,14784000.0,North America
Country 16,Arabica,384006000,2010,14784000.0,North America
Country 16,Arabica,384006000,2011,14784000.0,North America
Country 16,Arabica,384006000,2012,14784000.0,North America
Country 16,Arabica,384006000,2013,14784000.0,North America
Country 16,Arabica,384006000,2014,14784000.0,North America
Country 16,Arabica,384006000,2015,14784000.0,North America
Country 16,Arabica,384006000,2016,14784000.0,North America
Country 16,Arabica,384006000,2017,14784000.0,North America
Country 16,Arabica,384006000,2018,14784000.0,North America
Country 16,Arabica,384006000,2019,14515200.0,North America
Country 17,Arabica/Robusta,642823380,1990,21504000.0,North America
Country 17,Arabica/Robusta,642823380,1991,21504000.0,North America
Country 17,Arabica/Robusta,642823380,1992,21504000.0,North America
Country 17,Arabica/Robusta,642823380,1993,21504000.0,North America
Country 17,Arabica/Robusta,642823380,1994,22176000.0,North America
Country 17,Arabica/Robusta,642823380,1995,23520000.0,North America
Country 17,Arabica/Robusta,642823380,1996,21840000.0,North America
Country 17,Arabica/Robusta,642823380,1997,21840000.0,North America
Country 17,Arabica/Robusta,642823380,1998,21840000.0,North America
Country 17,Arabica/Robusta,642823380,1999,21840000.0,North America
Country 17,Arabica/Robusta,642823380,2000,21840000.0,North America
Country 17,Arabica/Robusta,642823380,2001,22861305.6,North America
Country 17,Arabica/Robusta,642823380,2002,22861305.6,North America
Country 17,Arabica/Robusta,642823380,2003,22848000.0,North America
Country 17,Arabica/Robusta,642823380,2004,25401465.6,North America
Country 17,Arabica/Robusta,642823380,2005,25401465.6,North America
Country 17,Arabica/Robusta,642823380,2006,25401465.6,North America
Country 17,Arabica/Robusta,642823380,2007,25401600.0,North America
Country 17,Arabica/Robusta,642823380,2008,25401600.0,North America
Country 17,Arabica/Robusta,642823380,2009,25401600.0,North America
Country 17,Arabica/Robusta,642823380,2010,25401600.0,North America
Country 17,Arabica/Robusta,642823380,2011,25401600.0,North America
Country 17,Arabica/Robusta,642823380,2012,25401600.0,North America
Country 17,Arabica/Robusta,642823380,2013,25759977.6,North America
Country 17,Arabica/Robusta,642823380,2014,26073600.0,North America
Country 17,Arabica/Robusta,642823380,2015,26073600.0,North America
Country 17,Arabica/Robusta,642823380,2016,26208000.0,North America
Country 17,Arabica/Robusta,642823380,2017,26208000.0,North America
Country 17,Arabica/Robusta,642823380,2018,26208000.0,North America
Country 17,Arabica/Robusta,642823380,2019,25334400.0,North America
Country 18,Arabica,600600000,1990,14784000.0,North America
Country 18,Arabica,600600000,1991,22176000.0,North America
Country 18,Arabica,600600000,1992,22176000.0,North America
Country 18,Arabica,600600000,1993,22176000.0,North America
Country 18,Arabica,600600000,1994,22176000.0,North America
Country 18,Arabica,600600000,1995,22176000.0,North America
Country 18,Arabica,600600000,1996,22176000.0,North America
Country 18,Arabica,600600000,1997,22176000.0,North America
Country 18,Arabica,600600000,1998,22176000.0,North America
Country 18,Arabica,600600000,1999,22848000.0,North America
Country 18,Arabica,600600000,2000,22848000.0,North America
Country 18,Arabica,600600000,2001,22848000.0,North America
Country 18,Arabica,600600000,2002,22848000.0,North America
Country 18,Arabica,600600000,2003,22848000.0,North America
Country 18,Arabica,600600000,2004,22848000.0,North America
Country 18,Arabica,600600000,2005,22848000.0,North America
Country 18,Arabica,600600000,2006,22848000.0,North America
Country 18,Arabica,600600000,2007,22848000.0,North America
Country 18,Arabica,600600000,2008,22848000.0,North America
Country 18,Arabica,600600000,2009,22848000.0,North America
Country 18,Arabica,600600000,2010,22848000.0,North America
Country 18,Arabica,600600000,2011,22848000.0,North America
Country 18,Arabica,600600000,2012,22848000.0,North America
Country 18,Arabica,600600000,2013,22848000.0,North America
Country 18,Arabica,600600000,2014,22848000.0,North America
Country 18,Arabica,600600000,2015,22848000.0,North America
Country 18,Arabica,600600000,2016,22848000.0,North America
Country 18,Arabica,600600000,2017,22848000.0,North America
Country 18,Arabica,600600000,2018,23184000.0,North America
Country 18,Arabica,600600000,2019,23184000.0,North America
Country 19,Robusta/Arabica,2807280000,1990,48384000.0,Asia
Country 19,Robusta/Arabica,2807280000,1991,50400000.0,Asia
Country 19,Robusta/Arabica,2807280000,1992,50400000.0,Asia
Country 19,Robusta/Arabica,2807280000,1993,51744000.0,Asia
Country 19,Robusta/Arabica,2807280000,1994,53088000.0,Asia
Country 19,Robusta/Arabica,2807280000,1995,54432000.0,Asia
Country 19,Robusta/Arabica,2807280000,1996,55843200.0,Asia
Country 19,Robusta/Arabica,2807280000,1997,57321600.0,Asia
Country 19,Robusta/Arabica,2807280000,1998,54432000.0,Asia
Country 19,Robusta/Arabica,2807280000,1999,57926400.0,Asia
Country 19,Robusta/Arabica,2807280000,2000,55104000.0,Asia
Country 19,Robusta/Arabica,2807280000,2001,55171200.0,Asia
Country 19,Robusta/Arabica,2807280000,2002,55708800.0,Asia
Country 19,Robusta/Arabica,2807280000,2003,61622400.0,Asia
Country 19,Robusta/Arabica,2807280000,2004,68544000.0,Asia
Country 19,Robusta/Arabica,2807280000,2005,69888000.0,Asia
Country 19,Robusta/Arabica,2807280000,2006,71232000.0,Asia
Country 19,Robusta/Arabica,2807280000,2007,71232000.0,Asia
Country 19,Robusta/Arabica,2807280000,2008,115584000.0,Asia
Country 19,Robusta/Arabica,2807280000,2009,122304000.0,Asia
Country 19,Robusta/Arabica,2807280000,2010,142800000.0,Asia
Country 19,Robusta/Arabica,2807280000,2011,146160000.0,Asia
Country 19,Robusta/Arabica,2807280000,2012,156240000.0,Asia
Country 19,Robusta/Arabica,2807280000,2013,171360000.0,Asia
Country 19,Robusta/Arabica,2807280000,2014,188160000.0,Asia
Country 19,Robusta/Arabica,2807280000,2015,201600000.0,Asia
Country 19,Robusta/Arabica,2807280000,2016,203616000.0,Asia
Country 19,Robusta/Arabica,2807280000,2017,213696000.0,Asia
Country 19,Robusta/Arabica,2807280000,2018,221760000.0,Asia
Country 19,Robusta/Arabica,2807280000,2019,218400000.0,Asia
Country 2,Arabica,75180000,1990,1680000.0,South America
Country 2,Arabica,75180000,1991,1814400.0,South America
Country 2,Arabica,75180000,1992,1848000.0,South America
Country 2,Arabica,75180000,1993,1915200.0,South America
Country 2,Arabica,75180000,1994,1982400.0,South America
Country 2,Arabica,75180000,1995,2049600.0,South America
Country 2,Arabica,75180000,1996,2116800.0,South America
Country 2,Arabica,75180000,1997,2184000.0,South America
Country 2,Arabica,75180000,1998,2217600.0,South America
Country 2,Arabica,75180000,1999,2284800.0,South America
Country 2,Arabica,75180000,2000,2352000.0,South America
Country 2,Arabica,75180000,2001,2452800.0,South America
Country 2,Arabica,75180000,2002,2520000.0,South America
Country 2,Arabica,75180000,2003,2587200.0,South America
Country 2,Arabica,75180000,2004,3024000.0,South America
Country 2,Arabica,75180000,2005,2755200.0,South America
Country 2,Arabica,75180000,2006,2822400.0,South America
Country 2,Arabica,75180000,2007,2923200.0,South America
Country 2,Arabica,75180000,2008,3024000.0,South America
Country 2,Arabica,75180000,2009,3091200.0,South America
Country 2,Arabica,75180000,2010,3192000.0,South America
Country 2,Arabica,75180000,2011,3292800.0,South America
Country 2,Arabica,75180000,2012,3393600.0,South America
Country 2,Arabica,75180000,2013,3494400.0,South America
Country 2,Arabica,75180000,2014,3595200.0,South America
Country 2,Arabica,75180000,2015,3696000.0,South America
Country 2,Arabica,75180000,2016,3830400.0,South America
Country 2,Arabica,75180000,2017,3931200.0,South America
Country 2,Arabica,75180000,2018,4032000.0,South America
Country 2,Arabica,75180000,2019,4099200.0,South America
Country 20,Arabica/Robusta,76425060,1990,268800.0,Africa
Country 20,Arabica/Robusta,76425060,1991,235200.0,Africa
Country 20,Arabica/Robusta,76425060,1992,1290240.0,Africa
Country 20,Arabica/Robusta,76425060,1993,1176000.0,Africa
Country 20,Arabica/Robusta,76425060,1994,1176000.0,Africa
Country 20,Arabica/Robusta,76425060,1995,913920.0,Africa
Country 20,Arabica/Robusta,76425060,1996,1115520.0,Africa
Country 20,Arabica/Robusta,76425060,1997,1142400.0,Africa
Country 20,Arabica/Robusta,76425060,1998,1142400.0,Africa
Country 20,Arabica/Robusta,76425060,1999,940800.0,Africa
Country 20,Arabica/Robusta,76425060,2000,1008000.0,Africa
Country 20,Arabica/Robusta,76425060,2001,1008000.0,Africa
Country 20,Arabica/Robusta,76425060,2002,1008000.0,Africa
Country 20,Arabica/Robusta,76425060,2003,1814400.0,Africa
Country 20,Arabica/Robusta,76425060,2004,2486400.0,Africa
Country 20,Arabica/Robusta,76425060,2005,3158400.0,Africa
Country 20,Arabica/Robusta,76425060,2006,3158400.0,Africa
Country 20,Arabica/Robusta,76425060,2007,3158400.0,Africa
Country 20,Arabica/Robusta,76425060,2008,3158400.0,Africa
Country 20,Arabica/Robusta,76425060,2009,3158400.0,Africa
Country 20,Arabica/Robusta,76425060,2010,3158400.0,Africa
Country 20,Arabica/Robusta,76425060,2011,3961440.0,Africa
Country 20,Arabica/Robusta,76425060,2012,4818240.0,Africa
Country 20,Arabica/Robusta,76425060,2013,4936982.4,Africa
Country 20,Arabica/Robusta,76425060,2014,5155382.4,Africa
Country 20,Arabica/Robusta,76425060,2015,6185760.0,Africa
Country 20,Arabica/Robusta,76425060,2016,6135360.0,Africa
Country 20,Arabica/Robusta,76425060,2017,6160022.4,Africa
Country 20,Arabica/Robusta,76425060,2018,6182400.0,Africa
Country 20,Arabica/Robusta,76425060,2019,6384000.0,Africa
Country 21,Arabica,991920,1990,100800.0,Africa
Country 21,Arabica,991920,1991,100800.0,Africa
Country 21,Arabica,991920,1992,96230.4,Africa
Country 21,Arabica,991920,1993,67200.0,Africa
Country 21,Arabica,991920,1994,100800.0,Africa
Country 21,Arabica,991920,1995,40320.0,Africa
Country 21,Arabica,991920,1996,67200.0,Africa
Country 21,Arabica,991920,1997,40320.0,Africa
Country 21,Arabica,991920,1998,40320.0,Africa
Country 21,Arabica,991920,1999,40320.0,Africa
Country 21,Arabica,991920,2000,40320.0,Africa
Country 21,Arabica,991920,2001,40320.0,Africa
Country 21,Arabica,991920,2002,40320.0,Africa
Country 21,Arabica,991920,2003,40320.0,Africa
Country 21,Arabica,991920,2004,40320.0,Africa
Country 21,Arabica,991920,2005,40320.0,Africa
Country 21,Arabica,991920,2006,40320.0,Africa
Country 21,Arabica,991920,2007,67200.0,Africa
Country 21,Arabica,991920,2008,67200.0,Africa
Country 21,Arabica,991920,2009,0.0,Africa
Country 21,Arabica,991920,2010,0.0,Africa
Country 21,Arabica,991920,2011,0.0,Africa
Country 21,Arabica,991920,2012,0.0,Africa
Country 21,Arabica,991920,2013,0.0,Africa
Country 21,Arabica,991920,2014,0.0,Africa
Country 21,Arabica,991920,2015,0.0,Africa
Country 21,Arabica,991920,2016,0.0,Africa
Country 21,Arabica,991920,2017,0.0,Africa
Country 21,Arabica,991920,2018,0.0,Africa
Country 21,Arabica,991920,2019,0.0,Africa
Country 22,Robusta/Arabica,143450940,1990,5597760.0,Africa
Country 22,Robusta/Arabica,143450940,1991,5599977.6,Africa
Country 22,Robusta/Arabica,143450940,1992,5599977.6,Africa
Country 22,Robusta/Arabica,143450940,1993,6720000.0,Africa
Country 22,Robusta/Arabica,143450940,1994,6720000.0,Africa
Country 22,Robusta/Arabica,143450940,1995,6720000.0,Africa
Country 22,Robusta/Arabica,143450940,1996,6720000.0,Africa
Country 22,Robusta/Arabica,143450940,1997,6720000.0,Africa
Country 22,Robusta/Arabica,143450940,1998,6720000.0,Africa
Country 22,Robusta/Arabica,143450940,1999,6720000.0,Africa
Country 22,Robusta/Arabica,143450940,2000,5040000.0,Africa
Country 22,Robusta/Arabica,143450940,2001,4636800.0,Africa
Country 22,Robusta/Arabica,143450940,2002,4636800.0,Africa
Country 22,Robusta/Arabica,143450940,2003,4636800.0,Africa
Country 22,Robusta/Arabica,143450940,2004,4636800.0,Africa
Country 22,Robusta/Arabica,143450940,2005,4636800.0,Africa
Country 22,Robusta/Arabica,143450940,2006,4636800.0,Africa
Country 22,Robusta/Arabica,143450940,2007,4636800.0,Africa
Country 22,Robusta/Arabica,143450940,2008,4636800.0,Africa
Country 22,Robusta/Arabica,143450940,2009,4636800.0,Africa
Country 22,Robusta/Arabica,143450940,2010,4591977.6,Africa
Country 22,Robusta/Arabica,143450940,2011,4705142.4,Africa
Country 22,Robusta/Arabica,143450940,2012,4820457.6,Africa
Country 22,Robusta/Arabica,143450940,2013,4938057.6,Africa
Country 22,Robusta/Arabica,143450940,2014,5061302.4,Africa
Country 22,Robusta/Arabica,143450940,2015,5107200.0,Africa
Country 22,Robusta/Arabica,143450940,2016,5174400.0,Africa
Country 22,Robusta/Arabica,143450940,2017,5241600.0,Africa
Country 22,Robusta/Arabica,143450940,2018,5241600.0,Africa
Country 22,Robusta/Arabica,143450940,2019,5174400.0,Africa
Country 23,Robusta,24794400,1990,1881600.0,Africa
Country 23,Robusta,24794400,1991,1881600.0,Africa
Country 23,Robusta,24794400,1992,1881600.0,Africa
Country 23,Robusta,24794400,1993,1680000.0,Africa
Country 23,Robusta,24794400,1994,1008000.0,Africa
Country 23,Robusta,24794400,1995,672000.0,Africa
Country 23,Robusta,24794400,1996,672000.0,Africa
Country 23,Robusta,24794400,1997,672000.0,Africa
Country 23,Robusta,24794400,1998,1276800.0,Africa
Country 23,Robusta,24794400,1999,1411200.0,Africa
Country 23,Robusta,24794400,2000,201600.0,Africa
Country 23,Robusta,24794400,2001,201600.0,Africa
Country 23,Robusta,24794400,2002,254486.4,Africa
Country 23,Robusta,24794400,2003,254486.4,Africa
Country 23,Robusta,24794400,2004,201600.0,Africa
Country 23,Robusta,24794400,2005,201600.0,Africa
Country 23,Robusta,24794400,2006,201600.0,Africa
Country 23,Robusta,24794400,2007,223977.6,Africa
Country 23,Robusta,24794400,2008,336000.0,Africa
Country 23,Robusta,24794400,2009,559977.6,Africa
Country 23,Robusta,24794400,2010,672000.0,Africa
Country 23,Robusta,24794400,2011,895977.6,Africa
Country 23,Robusta,24794400,2012,1120022.4,Africa
Country 23,Robusta,24794400,2013,1344000.0,Africa
Country 23,Robusta,24794400,2014,1344000.0,Africa
Country 23,Robusta,24794400,2015,1344000.0,Africa
Country 23,Robusta,24794400,2016,1344000.0,Africa
Country 23,Robusta,24794400,2017,1344000.0,Africa
Country 23,Robusta,24794400,2018,1344000.0,Africa
Country 23,Robusta,24794400,2019,1344000.0,Africa
Country 24,Arabica,2536776384,1990,82992000.0,South America
Country 24,Arabica,2536776384,1991,85276800.0,South America
Country 24,Arabica,2536776384,1992,87561600.0,South America
Country 24,Arabica,2536776384,1993,89980800.0,South America
Country 24,Arabica,2536776384,1994,92400000.0,South America
Country 24,Arabica,2536776384,1995,91324800.0,South America
Country 24,Arabica,2536776384,1996,90249600.0,South America
Country 24,Arabica,2536776384,1997,89241600.0,South America
Country 24,Arabica,2536776384,1998,88166400.0,South America
Country 24,Arabica,2536776384,1999,87158400.0,South America
Country 24,Arabica,2536776384,2000,86150400.0,South America
Country 24,Arabica,2536776384,2001,85142400.0,South America
Country 24,Arabica,2536776384,2002,84134400.0,South America
Country 24,Arabica,2536776384,2003,83126400.0,South America
Country 24,Arabica,2536776384,2004,82185600.0,South America
Country 24,Arabica,2536776384,2005,81244800.0,South America
Country 24,Arabica,2536776384,2006,80279337.6,South America
Country 24,Arabica,2536776384,2007,86078025.6,South America
Country 24,Arabica,2536776384,2008,86721600.0,South America
Country 24,Arabica,2536776384,2009,85644988.8,South America
Country 24,Arabica,2536776384,2010,88100812.8,South America
Country 24,Arabica,2536776384,2011,96436368.0,South America
Country 24,Arabica,2536776384,2012,101757062.4,South America
Country 24,Arabica,2536776384,2013,108663744.0,South America
Country 24,Arabica,2536776384,2014,111918307.2,South America
Country 24,Arabica,2536776384,2015,115609065.6,South America
Country 24,Arabica,2536776384,2016,116688862.08,South America
Country 24,Arabica,2536776384,2017,120507811.2,South America
Country 24,Arabica,2536776384,2018,120382752.0,South America
Country 24,Arabica,2536776384,2019,136064812.8,South America
