Country,Consumo_Anual,Consumo_Escalado,Cluster,Nivel_Consumo
Country 1,2016000.0,-0.297941907193876,0,Low
Country 10,1344000.0,-0.30114151304975145,0,Low
Country 11,16800000.0,-0.22755057836461523,0,Low
Country 12,67200.0,-0.3072207641759149,0,Low
Country 13,32928.0,-0.30738394407456454,0,Low
Country 14,268800.0,-0.3062608824191522,0,Low
Country 15,201600.0,-0.3065808430047398,0,Low
Country 16,14515200.0,-0.2384292382745919,0,Low
Country 17,25334400.0,-0.18691558399499653,0,Low
Country 18,23184000.0,-0.1971543227337981,0,Low
Country 19,218400000.0,0.7323311783980313,2,Medium
Country 2,4099200.0,-0.28802312904066196,0,Low
Country 20,6384000.0,-0.2771444691306853,0,Low
Country 22,5174400.0,-0.2829037596712612,0,Low
Country 23,1344000.0,-0.30114151304975145,0,Low
Country 24,136064812.8,0.34030714996094125,2,Medium
Country 25,23654400.0,-0.19491459863468524,0,Low
Country 26,21302400.0,-0.20611321913024946,0,Low
Country 27,13305600.0,-0.24418852881516778,0,Low
Country 28,19622400.0,-0.21411223376993818,0,Low
Country 3,1478400000.0,6.731592158164572,1,High
Country 30,254083200.0,0.9022302493450197,2,Medium
Country 31,33600.0,-0.30738074446870867,0,Low
Country 32,134400.0,-0.30690080359032734,0,Low
Country 33,26409600.0,-0.18179621462559575,0,Low
Country 34,3360000.0,-0.291542695482125,0,Low
Country 35,604800.0,-0.3046610794912145,0,Low
Country 36,23520000.0,-0.19555451980586036,0,Low
Country 37,97440000.0,0.15640212434044337,0,Low
Country 38,604800.0,-0.3046610794912145,0,Low
Country 39,4804800.0,-0.2846635428919927,0,Low
Country 4,134400.0,-0.30690080359032734,0,Low
Country 40,10550400.0,-0.2573069128242573,0,Low
Country 41,336000.0,-0.3059409218335647,0,Low
Country 42,162960000.0,0.46836369528830346,2,Medium
Country 44,14112000.0,-0.2403490017881172,0,Low
Country 45,2688000.0,-0.2947423013380005,0,Low
Country 46,4502400.0,-0.28610336552713667,0,Low
Country 47,336000.0,-0.3059409218335647,0,Low
Country 48,2352000.0,-0.2963421042659382,0,Low
Country 49,94080000.0,0.14040409506106594,0,Low
Country 5,10012800.0,-0.2598665975089577,0,Low
Country 50,17472.0,-0.30745753500924966,0,Low
Country 51,672000.0,-0.304341118905627,0,Low
Country 52,17068800.0,-0.22627073602226505,0,Low
Country 53,85680000.0,0.10040902186262232,0,Low
Country 54,178080000.0,0.540354827045502,2,Medium
Country 55,4300800.0,-0.2870632472838993,0,Low
Country 6,322963200.0,1.2301898495722572,2,Medium
Country 7,25200000.0,-0.18755550516617164,0,Low
Country 8,67200.0,-0.3072207641759149,0,Low
Country 9,134400.0,-0.30690080359032734,0,Low

